,frame_id,x,y,width,height,confidende,type,id
0,0,172.0,299.0,507.0,271.0,0.9906063675880432,car,0
1,0,1059.0,360.0,109.0,295.0,0.9932639002799988,person,1
2,0,770.0,357.0,117.0,238.0,0.993005633354187,person,2
3,1,172.0,299.0,508.0,272.0,0.991154670715332,car,0
4,1,1059.0,360.0,109.0,296.0,0.9935826063156128,person,1
5,1,771.0,357.0,116.0,238.0,0.9929695129394532,person,2
6,2,172.0,298.0,508.0,273.0,0.9881469011306764,car,0
7,2,775.0,357.0,132.0,240.0,0.9970849752426147,person,20
8,2,1054.0,363.0,108.0,292.0,0.9934542179107666,person,21
9,3,170.0,299.0,511.0,271.0,0.989604353904724,car,0
10,3,771.0,361.0,147.0,235.0,0.9982879757881165,person,22
11,3,1047.0,363.0,104.0,291.0,0.9886600971221924,person,23
12,4,170.0,299.0,511.0,271.0,0.9890586733818054,car,0
13,4,791.0,359.0,125.0,241.0,0.991862654685974,person,24
14,4,1041.0,362.0,112.0,292.0,0.9901201725006104,person,25
15,5,168.0,299.0,513.0,271.0,0.9876534938812256,car,0
16,5,821.0,352.0,106.0,259.0,0.9968249797821044,person,26
17,5,1026.0,356.0,128.0,309.0,0.9807157516479492,person,27
18,6,168.0,299.0,516.0,272.0,0.9847746491432191,car,0
19,6,838.0,353.0,86.0,259.0,0.9962365031242372,person,28
20,6,995.0,360.0,149.0,301.0,0.9878179430961608,person,29
21,7,168.0,298.0,515.0,273.0,0.9825897812843324,car,0
22,7,850.0,355.0,93.0,257.0,0.9986021518707277,person,30
23,7,998.0,363.0,134.0,301.0,0.9881554245948792,person,31
24,8,170.0,298.0,512.0,274.0,0.9824159741401672,car,0
25,8,856.0,357.0,99.0,256.0,0.9949008226394652,person,32
26,8,997.0,362.0,129.0,309.0,0.9732818603515624,person,33
27,9,170.0,298.0,511.0,274.0,0.979414165019989,car,0
28,9,862.0,359.0,116.0,247.0,0.9963210821151732,person,34
29,9,997.0,363.0,124.0,305.0,0.9937999844551086,person,35
30,10,168.0,297.0,515.0,276.0,0.9773064255714417,car,0
31,10,864.0,358.0,115.0,253.0,0.9956827163696288,person,36
32,10,982.0,358.0,137.0,311.0,0.9950909614562988,person,37
33,11,168.0,297.0,517.0,276.0,0.9821460843086244,car,0
34,11,870.0,351.0,120.0,261.0,0.9966961741447448,person,38
35,11,973.0,357.0,147.0,315.0,0.9883587956428528,person,39
36,12,167.0,296.0,516.0,277.0,0.9804651737213136,car,0
37,12,872.0,367.0,118.0,244.0,0.9922075867652892,person,40
38,12,967.0,351.0,146.0,324.0,0.9724520444869996,person,41
39,13,167.0,296.0,515.0,277.0,0.9819619655609132,car,0
40,13,957.0,371.0,135.0,272.0,0.9904807806015016,person,42
41,13,876.0,362.0,126.0,259.0,0.9745420217514038,person,43
42,14,170.0,297.0,512.0,277.0,0.9819994568824768,car,0
43,14,949.0,362.0,141.0,294.0,0.989054560661316,person,44
44,15,167.0,297.0,516.0,277.0,0.98171728849411,car,0
45,15,884.0,365.0,141.0,278.0,0.9699662327766418,person,45
46,15,965.0,363.0,119.0,296.0,0.9596242904663086,person,46
47,16,167.0,296.0,515.0,277.0,0.9817336797714232,car,0
48,16,898.0,354.0,150.0,303.0,0.9464406371116638,person,47
