,frame_id,x,y,width,height,confidende,type
0,0.0,172.0,299.0,507.0,271.0,0.9906063675880432,car
1,0.0,1059.0,360.0,109.0,295.0,0.9932639002799988,person
2,0.0,770.0,357.0,117.0,238.0,0.993005633354187,person
7,1.0,172.0,299.0,508.0,272.0,0.991154670715332,car
8,1.0,1059.0,360.0,109.0,296.0,0.9935826063156128,person
9,1.0,771.0,357.0,116.0,238.0,0.9929695129394531,person
14,2.0,172.0,298.0,508.0,273.0,0.9881469011306763,car
15,2.0,775.0,357.0,132.0,240.0,0.9970849752426147,person
16,2.0,1054.0,363.0,108.0,292.0,0.9934542179107666,person
21,3.0,170.0,299.0,511.0,271.0,0.9896043539047241,car
22,3.0,771.0,361.0,147.0,235.0,0.9982879757881165,person
24,3.0,1047.0,363.0,104.0,291.0,0.9886600971221924,person
28,4.0,170.0,299.0,511.0,271.0,0.9890586733818054,car
29,4.0,791.0,359.0,125.0,241.0,0.9918626546859741,person
30,4.0,1041.0,362.0,112.0,292.0,0.9901201725006104,person
35,5.0,168.0,299.0,513.0,271.0,0.9876534938812256,car
36,5.0,821.0,352.0,106.0,259.0,0.9968249797821045,person
38,5.0,1026.0,356.0,128.0,309.0,0.9807157516479492,person
42,6.0,168.0,299.0,516.0,272.0,0.984774649143219,car
43,6.0,838.0,353.0,86.0,259.0,0.9962365031242371,person
44,6.0,995.0,360.0,149.0,301.0,0.9878179430961609,person
49,7.0,168.0,298.0,515.0,273.0,0.9825897812843323,car
50,7.0,850.0,355.0,93.0,257.0,0.9986021518707275,person
51,7.0,998.0,363.0,134.0,301.0,0.9881554245948792,person
56,8.0,170.0,298.0,512.0,274.0,0.9824159741401672,car
57,8.0,856.0,357.0,99.0,256.0,0.9949008226394653,person
59,8.0,997.0,362.0,129.0,309.0,0.9732818603515625,person
63,9.0,170.0,298.0,511.0,274.0,0.979414165019989,car
64,9.0,862.0,359.0,116.0,247.0,0.9963210821151733,person
65,9.0,997.0,363.0,124.0,305.0,0.9937999844551086,person
70,10.0,168.0,297.0,515.0,276.0,0.9773064255714417,car
71,10.0,864.0,358.0,115.0,253.0,0.9956827163696289,person
72,10.0,982.0,358.0,137.0,311.0,0.9950909614562988,person
77,11.0,168.0,297.0,517.0,276.0,0.9821460843086243,car
78,11.0,870.0,351.0,120.0,261.0,0.9966961741447449,person
79,11.0,973.0,357.0,147.0,315.0,0.9883587956428528,person
84,12.0,167.0,296.0,516.0,277.0,0.9804651737213135,car
85,12.0,872.0,367.0,118.0,244.0,0.9922075867652893,person
87,12.0,967.0,351.0,146.0,324.0,0.9724520444869995,person
91,13.0,167.0,296.0,515.0,277.0,0.9819619655609131,car
92,13.0,957.0,371.0,135.0,272.0,0.9904807806015015,person
94,13.0,876.0,362.0,126.0,259.0,0.9745420217514038,person
98,14.0,170.0,297.0,512.0,277.0,0.9819994568824768,car
99,14.0,949.0,362.0,141.0,294.0,0.9890545606613159,person
103,15.0,167.0,297.0,516.0,277.0,0.9817172884941101,car
105,15.0,884.0,365.0,141.0,278.0,0.9699662327766418,person
106,15.0,965.0,363.0,119.0,296.0,0.9596242904663086,person
110,16.0,167.0,296.0,515.0,277.0,0.9817336797714233,car
112,16.0,898.0,354.0,150.0,303.0,0.9464406371116638,person
